MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
135    135                 0.111111                0.141026                 0.140110                0.222403                 82                7                 6               19                 6               33                 8               22                11               18                 5             99              36  0.011386
136    136                 0.111111                0.153846                 0.140110                0.245130                 82                7                 6               19                 6               33                 8               22                11               19                 5            100              36  0.010918
137    137                 0.111111                0.153846                 0.140110                0.245130                 83                7                 6               20                 6               33                 8               22                11               19                 5            101              36  0.011464
138    138                 0.111111                0.153846                 0.140110                0.245130                 84                7                 6               21                 6               33                 8               22                11               19                 5            102              36  0.009871
139    139                 0.111111                0.153846                 0.140110                0.245130                 84                7                 6               21                 6               33                 8               22                12               19                 5            102              37  0.010970
140    140                 0.111111                0.141026                 0.140110                0.222403                 84                7                 6               21                 7               33                 8               22                12               19                 5            102              38  0.010010
141    141                 0.119658                0.141026                 0.145604                0.222403                 84                7                 6               21                 8               33                 8               22                12               19                 5            102              39  0.009862
142    142                 0.111111                0.141026                 0.140110                0.222403                 84                8                 6               21                 8               33                 8               22                12               19                 5            103              39  0.009613
143    143                 0.111111                0.141026                 0.140110                0.222403                 84                8                 6               22                 8               33                 8               22                12               19                 5            104              39  0.010308
144    144                 0.102564                0.141026                 0.134615                0.222403                 84                8                 6               22                 8               34                 8               22                12               19                 5            105              39  0.010738
145    145                 0.102564                0.141026                 0.134615                0.222403                 84                8                 6               23                 8               34                 8               22                12               19                 5            106              39  0.010559
146    146                 0.102564                0.141026                 0.134615                0.222403                 84                8                 6               23                 8               34                 8               22                12               19                 6            106              40  0.010663
147    147                 0.102564                0.141026                 0.134615                0.222403                 84                8                 6               23                 8               34                 8               22                12               20                 6            107              40  0.010678
